,genre,id,track,artist,album,release_date,release_year,length_ms,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
See Travis Tritt LiveGet tickets as low as $57You might also like[Chorus]
And it's a great day to be alive
I know the sun's still shining
When I close my eyes
There's some hard times in the neighborhood
But why can't every day be just this good

[Bridge]
Sometimes it's lonely, sometimes it's only me
And the shadows that fill this room
Sometimes I'm falling, desperately calling
Howlin' at the moon ah-ooh

[Instrumental break]

[Verse 5]
Well I might go get me a new tattoo
Or take my old Harley for a three day cruise
Might even grow me a Fu-Manchu

[Chorus]
And it's a great day to be alive
I know the sun's still shining
When I close my eyes
There's some hard times in the neighborhood
But why can't every day be just this good
[Chorus]
And it's a great day to be alive
I know the sun's still shining
When I close my eyes
There's some hard times in the neighborhood
But why can't every day be just this goodEmbed"
3,country,6Lmx6bz3PGYuNSjKMnYBOa,"Heads Carolina, Tails California",['Jo Dee Messina'],JoDee Messina,1996-04-02,1996,209760,False,71,0.607,0.815,4,-6.619,1,0.039,0.0471,2.8100000000000002e-05,0.111,0.57,136.94899999999998,"4 ContributorsHeads Carolina, Tails California Lyrics[Verse 1]
Baby, what do you say we just get lost?
Leave this one-horse town like two rebels without a cause
I've got people in Boston, ain't your Daddy still in Des Moines?
We can pack up tomorrow, tonight let's flip a coin

[Chorus]
Heads Carolina, tails California
Somewhere greener, somewhere warmer
Up in the mountains, down by the ocean
Where, it don't matter as long as we're going
Somewhere together, I've got a quarter
Heads Carolina, tails California

[Verse 2]
We can load what we own in the back of a U-Haul van
Couple of modern day Moses' searching for the promised land
We can go four hundred miles before we stop for gas
We can drive for a day and then we'll take a look at the map

[Chorus]
Heads Carolina, tails California
Somewhere greener, somewhere warmer
Up in the mountains, down by the ocean
Where, it don't matter as long as we're going
Somewhere together, I've got a quarter
Heads Carolina, tails California
You might also like[Verse 3]
We're gonna get outta here
If we have to ride a Greyhound bus
Boy, we're bound to outrun
The bad luck that's been tailing us

[Chorus]
Heads Carolina, tails California
Somewhere greener, somewhere warmer
Up in the mountains, down by the ocean
Where, it don't matter as long as we're going
Somewhere together, I've got a quarter
Heads Carolina, tails California
Ohh California, Carolina, CaliforniaEmbed"
4,country,1nVoLxz8C0uGgMKfywy0vf,Independence Day,['Martina McBride'],The Way That I Am,1993-09-12,1993,204626,False,64,0.7120000000000001,0.63,9,-6.202000000000001,1,0.0299,0.257,6.65e-05,0.0999,0.768,118.37799999999999,"9 ContributorsIndependence Day Lyrics[Verse 1]
Well, she seemed alright by dawn's early light
Though she looked a little worried and weak
She tried to pretend he wasn't drinkin' again
But daddy left the proof on her cheek
And I was only eight years old that summer
And I always seemed to be in the way
So, I took myself down to the fair in town
On Independence Day

[Verse 2]
Well, word gets around in a small, small town
They said he was a dangerous man
But mama was proud and she stood her ground
She knew she was on the losin' end
Some folks whispered, some folks talked
But everybody looked the other way
When time ran out there was no one about
On Independence Day

[Chorus]
Let freedom ring
Let the white dove sing
Let the whole world know that today
Is a day of reckoning
Let the weak be strong
Let the right be wrong
Roll the stone away
Let the guilty pay
It's Independence Day
See Martina McBride LiveGet tickets as low as $109You might also like[Verse 3]
Well she lit up the sky that fourth of July
By the time that the firemen come
They just put out the flames and took down some names
And sent me to the county home
Now, I ain't sayin' it's right or it's wrong
But maybe it's the only way
Talk about your revolution
It's Independence Day

[Chorus]
Let freedom ring
Let the white dove sing
Let the whole world know that today
Is a day of reckoning
Let the weak be strong
Let the right be wrong
Roll the stone away
Let the guilty pay
It's Independence Day

[Outro]
Roll the stone away
It's Independence DayEmbed"
5,country,26bL4gSULWDgdIMX0pRFrG,Redneck Woman,['Gretchen Wilson'],Here For The Party,2004-05-11,2004,221333,False,67,0.499,0.825,6,-5.146,1,0.177,0.13,0.0,0.306,0.753,185.06900000000002,"18 ContributorsRedneck Woman Lyrics[Verse 1]
Well, I ain't never been the Barbie Doll type
No, I can't swig that sweet Champagne
I'd rather drink beer all night
In a tavern
Or in a honky-tonk
Or on a four-wheel-drive tailgate
Oh, I've got posters on my wall
Of Skynyrd, Kid and Strait

[Pre-Chorus]
Some people look down on me
But I don't give a rip
I'll stand barefooted in my own front yard
With a baby on my hip

[Chorus 1]
'Cause I'm a redneck woman
I ain't no high class broad
I'm just a product of my raisin'
I say ""hey, y'all"" and ""yee-haw""
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every Charlie Daniels song
So here's to all my sisters
Out there keeping it country
Let me get a big ""hell yeah"" from the redneck girls like me
Hell yeah (Hell yeah!)
You might also like[Verse 2]
Victoria Secret
Well, their stuff's real nice
Oh, but I can buy the same damn thing
On a Wal-Mart shelf half-price
And still look sexy (Sexy)
Just as sexy as those models on TV
No, I don't need no designer tag
To make my man want me

[Pre-Chorus]
You may think I'm trashy
A little too hard core
But in my neck of the woods
I'm just the girl next door

[Chorus 2]
Hey, I'm a redneck woman
I ain't no high class broad
I'm just a product of my raising
I say ""hey, y'all"" and ""yee-haw""
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every Tanya Tucker song
So here's to all my sisters
Out there keeping it country
Let me get a big ""hell yeah"" from the redneck girls like me
Hell yeah (Hell yeah!)
[Chorus 3]
I'm a redneck woman
I ain't no high class broad
I'm just a product of my raising
I say ""hey, y'all"" and ""yee-haw""
And I keep my Christmas lights on
On my front porch all year long
And I know all the words to every Ol' Bocephus song
So here's to all my sisters
Out there keeping it country
Let me get a big ""hell yeah"" from the redneck girls
Like me

[Outro]
(Hell yeah!)
Hell yeah!
(Hell yeah!)
Hell yeah!
(Hell yeah!)
I said hell yeah!7Embed"
6,country,1jGLlz5SDLRxnq4Tv6ydAQ,Killin' Time,['Clint Black'],Killin' Time,1989-05-02,1989,167933,False,66,0.711,0.491,7,-10.323,1,0.0295,0.381,9.12e-06,0.249,0.6709999999999999,121.294,"8 ContributorsKillin’ Time Lyrics[Verse 1]
You were the first thing that I thought of
When I thought I drank you off my mind
When I get lost in the liquor
You're the only one I find
And if I did the things I oughta
You still would not be mine
So I'll keep a tight grip on the bottle
Gettin' loose and killin' time

[Chorus]
This killin' time is killin' me
Drinkin' myself blind, thinkin' I won't see
That if I cross that line and they bury me
Well, I just might find I'll be killin' time for eternity

[Verse 2]
I don't know nothin' 'bout tomorrow
I've been lost in yesterday
I've spent all my life just dyin' for
A love that passed away
There's an end to all my sorrow
This is the only price I'll pay
I'll be a happy man when I go
And I can't wait another day
See Clint Black LiveGet tickets as low as $47You might also like[Chorus]
This killin' time is killin' me
Drinkin' myself blind, thinkin' I won't see
That if I cross that line and they bury me
Well, I just might find I'll be killin' time for eternity

[Outro]
Yes, I just might find I'll be killin' time for eternity1Embed"
7,country,0FtV0YbnnjD7PXpLHFHPhn,Fancy,['Reba McEntire'],Rumor Has It,1990-01-01,1990,299733,False,68,0.674,0.517,11,-11.225,1,0.0726,0.226,0.0,0.0697,0.48200000000000004,94.98,"26 ContributorsFancy Lyrics[Verse 1]
I remember it all very well looking back
It was the summer I turned eighteen
We lived in a one-room, rundown shack
On the outskirts of New Orleans
We didn't have money for food or rent
To say the least, we were hard pressed
Then mama spent every last penny we had
To buy me a dancing dress
Well, Mama washed and combed and curled my hair
Then she painted my eyes and lips (Lips)
Then I stepped into a satin dancing dress
That had a split on the side clean up to my hip
It was red velvet trim and it had fit me good
Well, standing back from the looking glass
There stood a woman where a half-grown kid had stood

[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down""
She said, ""Here's your one chance, Fancy, don't let me down""

[Verse 2]
Mama dabbed a little bit of perfume on my neck
Then she kissed my cheek
And then I saw the tears welling up in her troubled eyes
As she started to speak
She looked at our pitiful shack
And then she looked at me and took a ragged breath
She said, ""Your Pa's runned off and I'm real sick
And the baby's gonna starve to death""
She handed me a heart-shaped locket that said
""To thine own self be true""
And I shivered as I watched a roach crawl across
The toe of my high-heeled shoe
It sounded like somebody else that was talking
Asking Mama, ""What do I do?""
She said, ""Just be nice to the gentlemen, Fancy
They'll be nice to you""
You might also like[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down
Here's your one chance, Fancy, don't let me down
Lord, forgive me for what I do
But if you want out, well, it's up to you
Now don't let me down now
Your Mama's gonna move you uptown""

[Verse 3]
Well, that was the last time I saw my Ma
The night I left that rickety shack
The welfare people came and took the baby
Mama died and I ain't been back
But the wheels of fate had started to turn
And for me there was no way out
It wasn't very long until I knew exactly
What my Mama'd been talking about
I knew what I had to do and I made myself this solemn vow
That I was gonna be a lady someday
Though I didn't know when or how
But I couldn't see spending the rest of my life
With my head hung down in shame
You know I might've been born just plain white trash
But Fancy was my name

[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down""
She said, ""Here's your one chance, Fancy, don't let me down""
[Verse 4]
It wasn't long after a benevolent man
Took me in off the streets
And one week later I was pouring his tea
In a five-room hotel suite (Yes, she was)
I charmed a king, congressman
And an occasional aristocrat
Then I got me a Georgia mansion
And an elegant New York townhouse flat
And I ain't done bad (She ain't done bad)

[Verse 5]
Now in this world
There's a lot of self-righteous hypocrites that call me bad
They criticize Mama for turning me out
No matter how little we had
But though I ain't had to worry about nothing
For nigh on fifteen years
Well, I can still hear the desperation
In my poor Mama's voice ringing in my ears

[Chorus]
""Here's your one chance, Fancy, don't let me down
Oh, here's your one chance, Fancy, don't let me down
Lord, forgive me for what I do
But if you want out, well, it's up to you
Now don't let me down, hon'
Your Mama's gonna move you uptown""
Oh, and I guess she did7Embed"
8,country,65B1tEOv5W294uCKbmEcFV,I Hope You Dance,['Lee Ann Womack'],I Hope You Dance,2000-01-01,2000,294533,False,66,0.385,0.44299999999999995,7,-9.627,0,0.0295,0.0632,0.0,0.0898,0.275,151.278,"17 ContributorsI Hope You Dance Lyrics[Verse 1]
I hope you never lose your sense of wonder
You get your fill to eat, but always keep that hunger
May you never take one single breath for granted
God forbid love ever leave you empty-handed

[Verse 2]
I hope you still feel small when you stand beside the ocean
Whenever one door closes, I hope one more opens
Promise me that you'll give faith a fighting chance
And when you get the choice to sit it out or dance

[Chorus]
I hope you dance
I hope you dance

[Verse 3]
I hope you never fear those mountains in the distance
Never settle for the path of least resistance
Livin' might mean takin' chances, but they're worth takin'
Lovin' might be a mistake, but it's worth makin'

[Verse 4]
Don't let some hellbent heart leave you bitter
When you come close to sellin' out, reconsider
Give the heavens above more than just a passing glance
And when you get the choice to sit it out or dance
See Lee Ann Womack LiveGet tickets as low as $33You might also like[Chorus]
I hope you dance (Time is a wheel in constant motion always)
I hope you dance (Rolling us along)
I hope you dance (Tell me, who wants to look back on their years and wonder)
I hope you dance (Where those years have gone?)

[Bridge]
I hope you still feel small when you stand beside the ocean
Whenever one door closes, I hope one more opens
Promise me that you'll give faith a fighting chance
And when you get the choice to sit it out or dance

[Chorus]
Dance
I hope you dance
I hope you dance (Time is a wheel in constant motion always)
I hope you dance (Rolling us along)
I hope you dance (Tell me, who wants to look back on their years and wonder)
I hope you dance (Where those years have gone?)

[Outro]
Tell me, who wants to look back on their years and wonder
Where those years have gone?7Embed"
9,country,7lUE02KHkZM44BZgjCaWRO,Meet In the Middle,['Diamond Rio'],Diamond Rio,1991-07-01,1991,198333,False,69,0.746,0.44299999999999995,4,-11.305,1,0.0359,0.6629999999999999,0.0,0.223,0.5539999999999999,91.11,"7 ContributorsMeet in the Middle Lyrics[Verse 1]
It was seven hundred fence posts from your place to ours
Neither one of us was old enough to drive a car
Sometimes it was rainin', sometimes it would shine
We wore out that gravel road between your house and mine

[Chorus]
I'd start walkin' your way, you'd start walkin' mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground, 'cause we'd both give a little
There ain't no road too long when we meet in the middle

[Verse 2]
It's been seven years tomorrow since we said our vows
Under that old pine tree, you ought to see it now
Standin' in the backyard, remindin' me and you
That if we don't see eye to eye, there's somethin' we can do

[Chorus]
I'd start walkin' your way, you'd start walkin' mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground, 'cause we'd both give a little
There ain't no road too long when we meet in the middle

[Bridge]
Babe, I love the way we work it out
That's what love is all about
See Diamond Rio LiveGet tickets as low as $54You might also like[Chorus]
I'd start walkin' your way, you'd start walkin' mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground, 'cause we'd both give a little
There ain't no road too long when we meet in the middle

[Chorus]
I'd start walkin' your way, you'd start walkin' mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground, 'cause we'd both give a little
There ain't no road too long when we meet in the middle

[Chorus]
I'd start walking your way, you'd start walking mine
We'd meet in the middle, 'neath that old Georgia pine
We'd gain a lot of ground, 'cause we'd both give a little
There ain't no road too long when we meet in the middle3Embed"
10,country,29V94tQgMoSJjbzuTliPj6,Better Things To Do,['Terri Clark'],Terri Clark,1995-01-01,1995,188133,False,57,0.569,0.782,10,-5.867999999999999,1,0.0491,0.105,0.0,0.13,0.595,150.631,"5 ContributorsBetter Things to Do Lyrics[Verse 1]
Don't tell me the reason that you're calling
Is to see if I'm alright since you've been gone
'Cause I know you and I know why we're talking
You're wanting me to say I'm barely hanging on
Well, maybe that was true for a night or two
But now, I got better things to do

[Chorus]
I could wash my car in the rain
Change my new guitar strings
Mow the yard just the same as I did yesterday
I don't need to waste my time crying over you
I got better things to do

[Verse 2]
Maybe when I don't have so much going
Or quite so many irons in the fire
I'll take the time to miss you like you're hoping
But now I can't put forth the effort it requires
I'd love to talk to you, but then I'd miss Donahue
(updated version: but Springer's on at two)
That's right, I got better things to do

[Chorus]
I could wash my car in the rain
Change my new guitar strings
Mow the yard just the same as I did yesterday
I don't need to waste my time crying over you
I got better things to do
You might also like[Chorus]
Check the air in my tires
Straighten my stereo wires
Count the stars in the sky or just get on with my life
I don't need to waste my time crying over you
I got better things to do
I got better things to doEmbed"
11,country,1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",['Randy Travis'],Always & Forever,1987-05-04,1987,212640,False,76,0.677,0.7240000000000001,2,-8.992,1,0.0245,0.14300000000000002,0.000101,0.158,0.6970000000000001,90.39200000000001,"12 ContributorsForever and Ever, Amen Lyrics[Verse 1]
You may think that I'm talking foolish
You've heard that I'm wild and I'm free
You may wonder how I can promise you now
This love that I feel for you, always will be
But you're not just time that I'm killing
I'm no longer one of those guys
As sure as I live, this love that I give
Is gonna be yours until the day that I die, oh, baby

[Chorus]
I'm gonna love you forever
Forever and ever, Amen​
As long as old men sit and talk about the weather
As long as old women sit and talk about old men
If you wonder how long I'll be faithful
I'll be happy to tell you again
I'm gonna love you forever and ever
Forever and ever, Amen

[Verse 2]
They say that time takes its toll on a body
Makes the young girl's brown hair turn grey
But honey, I don't care, I ain't in love with your hair
And if it all fell out, well, I'd love you anyway
They say that time can play tricks on a memory
Make people forget things they knew
Well, it's easy to see it's happening to me
I've already forgotten every woman but you, oh, darling
You might also like[Chorus]
I'm gonna love you forever
Forever and ever, Amen
As long as old men sit and talk about the weather
As long as old women sit and talk about old men
If you wonder how long I'll be faithful
Well, just listen to how this song ends
I'm gonna love you forever and ever
Forever and ever, Amen

[Outro]
I'm gonna love you forever and ever
Forever and ever, forever and ever
Forever and ever, Amen1Embed"
12,country,19zb0fxeiJqCLYHj6L8iYG,Suds in the Bucket,['Sara Evans'],Restless,2003-01-01,2003,227266,False,45,0.511,0.903,10,-3.1630000000000003,1,0.0397,0.052000000000000005,0.000529,0.304,0.898,161.99200000000002,"10 ContributorsSuds in the Bucket Lyrics[Verse 1]
She was in the backyard
They say it was a little past nine
When her prince pulled up
A white pick-up truck
Her folks shoulda seen it coming
It was only just a matter of time
Plenty old enough
And you can't stop love
She stuck a note on the screen door
""Sorry, but I got to go""
That was all she wrote
Her mama's heart was broke
That was all she wrote
Or so the story goes

[Chorus 1]
Now her daddy's in the kitchen
Staring out the window
Scratching and a-racking his brains
How could 18 years just up and walk away?
Our little pony-tailed girl
Grown up to be a woman
Now she's gone in the blink of an eye
She left the suds in the bucket
And the clothes hanging out on the line
See Sara Evans LiveGet tickets as low as $99You might also like[Verse 2]
Now, don't you wonder
What the preacher's gonna preach about Sunday morning
Nothing quite like this has happened here before
Well, he must have been a looker
A smooth talking son of a gun
For such a grounded girl to just up and run
Course you can't fence time
And you can't stop love

[Chorus 2]
Now all the biddies in the beauty shop gossip
Going non-stop
Sipping on pink lemonade
How could 18 years just up and walk away?
Our little pony-tailed girl
Grown up to be a woman
Now she's gone in the blink of an eye
She left the suds in the bucket
And the clothes hangin' out on the line
Yee-hoo!

[Instrumental Break]

[Chorus 3]
She's got her pretty little bare feet
Hanging out the window
And they're heading up to Vegas tonight
How could eighteen years just up and walk away?
Our little pony-tailed girl
Grown up to be a woman
Now she's gone in the blink of an eye
She left the suds in the bucket
And the clothes hanging out on the line
She left the suds in the bucket
And the clothes hanging out on the line
[Outro]
She was in the backyard
They say it was a little past nine
When her prince pulled up
A white pickup truck
Plenty old enough
And you can't stop love
No, you can't fence time
And you can't stop loveEmbed"
13,country,6BkK5Dsu1kTne7Cn6EyYex,Why Not Me,['The Judds'],Why Not Me,1984-10-15,1984,211266,False,66,0.732,0.667,10,-9.277999999999999,1,0.0278,0.502,4.07e-06,0.0524,0.727,125.6,"5 ContributorsWhy Not Me Lyrics[Verse 1:]
You've been looking for love
All around the world
Baby, don't you know
This country girl's still free?

Why not me?
Well, you've finally come down
To your old hometown
Your Kentucky girl's been waiting patiently
Why not me?

[Chorus:]
Why not me
On a rainy day?
Why not me
To love your cares away?
Why not me?

Why not me
When the nights get cold?
Why not me
When you're growing old?
Why not me?

[Verse 2:]
You've been searching
From here to Singapore
Ain't it time
That you notice the girl next door, baby
You might also likeWhy not me?
You had to see if the world was round
It's time that you learned
How good settling down could be
Why not me?

[Repeat Chorus:]

[Bridge:]
You've been looking for love
All around the world
Baby, don't you know
This country girl's still free?

[Repeat Chorus:]

Baby, why not me?1Embed"
14,country,3Q9t1A12iUemHTAWnH7PjD,Watermelon Crawl,['Tracy Byrd'],No Ordinary Man,1994-01-01,1994,181973,False,70,0.759,0.723,0,-9.315,1,0.027999999999999997,0.17300000000000001,0.0,0.179,0.9620000000000001,136.746,"7 ContributorsWatermelon Crawl Lyrics[Verse 1]
I was drivin' through Georgia in late July
On a day hot enough to make the devil sigh
I saw a homemade sign writtin' in red
Rhine county watermelon festival ahead

[Verse 2]
Well, I wasn't in a hurry so I slowed down
Took a two lane road to a one horse town
There was a party goin' on when I got there
I heard a welcome speech from a small town mayor

[Chorus]
He said we got a hundred gallons of sweet red wine
Made from the biggest watermelons on the vine
Help yourself to some, but obey the law
If you drink don't drive, do the watermelon crawl

[Verse 3]
When the band started playin' the watermelon queen
Said let me show you somethin' that you ain't never seen
She grabbed me by the arm said come on let's go
She dipped down, spun around, and do-ce-doed

[Verse 4]
She rocked back on her heels dropped down to her knees
She crawled across the floor and jumped back to her feet
She wiggled and she giggled and be all you ever saw
She said this is how you do the watermelon crawl
You might also like[Chorus]
She said we got a hundred gallons of sweet red wine
Made from the biggest watermelons on the vine
Help yourself to some, but obey the law
If you drink don't drive, do the watermelon crawl

[Bridge]
If you're ever down in Georgia around about July
If you ain't in a hurry then you oughta stop by
I can guarantee that you're goin have a ball
Learnin' how to do the watermelon crawl

[Chorus]
Well, we got a hundred gallons of sweet red wine
Made from the biggest watermelons on the vine
Help yourself to some, but obey the law
If you drink don't drive do the watermelon crawl
Yeah, do the watermelon crawl
Have fun you all
Do the watermelon crawlEmbed"
15,country,5s7m2xNZWgz5FqVSIvJcGA,Save a Horse (Ride a Cowboy),['Big & Rich'],Horse of a Different Color,2004-04-20,2004,200306,False,72,0.7,0.8959999999999999,2,-2.276,1,0.191,0.10800000000000001,0.0,0.45299999999999996,0.8170000000000001,102.065,"26 ContributorsSave a Horse (Ride a Cowboy) Lyrics[Intro]
DUM-DE-DE-DUM, DE-DE-DUM-DE-DE-DUM, DE-DAA-DAAAAA
DUM-DE-DE-DUM, DE-DE-DUM-DE-DE-DUM, DE-DAA-DAA-DAA-DAA-DAAAA!

[Verse 1]
Well, I walk into the room
Passing out hundred dollar bills
And it kills and it thrills like the horns on my Silverado grill
And I buy the bar a double round of  Crown
And everybody's getting down
An' this town ain't never gonna be the same

[Chorus:]
Cause I saddle up my horse
And I ride into the city
I make a lot of noise
Cause the girls
They are so pretty
Riding up and down Broadway
On my old stud Leroy
And the girls say
Save a horse, ride a cowboy
Everybody says
Save a horse, Ride a cowboy

Well I don't give a dang about nothing
I'm singing and Bling-Blinging
While the girls are drinking
Long necks down!
And I wouldn't trade ol' Leroy
Or my Chevrolet for your Escalade
Or your freak parade
I'm the only John Wayne left in this town
You might also likeAnd I saddle up my horse
And I ride into the city
I make a lot of noise
Cause the girls
They are so pretty
Riding up and down Broadway
On my old stud Leroy
And the girls say
[Save a horse, ride a cowboy
Everybody says
Save a horse, Ride a cowboy] (7659194)


[Spoken:]
I'm a thourough-bred
That's what she said
In the back of my truck bed
As I was gettin' buzzed on suds
Out on some back country road
We where flying high
Fine as wine, having ourselves a big and rich time
And I was going, just about as far as she'd let me go

But her evaluation
Of my cowboy reputation
Had me begging for salvation
All night long
So I took her out giggin frogs
Introduced her to my old bird dog
And sang her every Wilie Nelson song I could think of
And we made love
And I saddled up my horse
And I ride into the city
I make a lot of noise
Cause the girls
They are so pretty
Riding up and down Broadway
On my old stud Leroy
And the girls say
Save a horse, ride a cowboy
Everybody says
Save a horse, Ride a cowboy


What? What?
Save A Horse Ride A Cowboy
Everybody says
Save a Horse Ride a cowboy2Embed"
16,country,1mICUTQCbRkAvGmO0cwoAz,Blame It on Your Heart,['Patty Loveless'],Only What I Feel,1993-04-20,1993,213693,False,57,0.624,0.8079999999999999,8,-7.739,1,0.0472,0.643,0.0,0.0914,0.88,149.52200000000002,"7 ContributorsBlame It On Your Heart LyricsYou've got a thing or two to learn about me baby
'Cause I ain't taking it no more and I don't mean maybe
You don't know right from wrong
Well the love we had is gone
So blame it on your lying, cheating, cold deadbeating
Two-timing, double dealing
Mean mistreating, loving heart

Well all I wanted was to be your one and only
And all I ever got from you was being lonely
Now that dream is laid to rest
'Cause you have failed the test
Hey blame it on your lying, cheating, cold deadbeating
Two-timing, double dealing
Mean mistreating, loving heart

Are you headed for a heartache, oh yeah
Gonna get a bad break, oh yeah
You made a bad mistake, oh yeah
Well, you're never gonna find another love like mine
Someone's gonna do you like you done me honey
And when she does you like she'll do, you'll see it ain't funny
You need some sympathy
But don't be calling me
Hey blame it on your lying, cheating, cold deadbeating
Two-timing, double dealing
